title,url,image_url,year
"CompletedMikadono Sanshimai wa Angai, Choroi.2025EP12TV",https://otakudesu.fit/series/mikadono-sanshimai-wa-angai-choroi/,"https://i2.wp.com/otakudesu.fit/wp-content/uploads/2025/07/1752039481-5275-m1V6c1x127niTfg3k0rLWPouDSn.jpg?resize=200,300",2024
CompletedTurkey!2025EP12TV,https://otakudesu.fit/series/turkey/,"https://i3.wp.com/otakudesu.fit/wp-content/uploads/2025/07/1751965659-9634-bMZon1ampRl8Z6it3ownpGzP5G4.jpg?resize=200,300",2025
Osomatsu-san 42015EP5TV,https://otakudesu.fit/series/osomatsu-san-4/,"https://i1.wp.com/otakudesu.fit/wp-content/uploads/2025/07/1751965029-9571-vEsmh6m9fUhJzGfLxUpliT3vqdh.jpg?resize=200,300",2025
CompletedKakkou no Iinazuke Season 22022EP12TV,https://otakudesu.fit/series/kakkou-no-iinazuke-season-2/,"https://i2.wp.com/otakudesu.fit/wp-content/uploads/2025/07/1751963957-5887-tWDX9uDAzOJhsvunl6PabHdhFx0.jpg?resize=200,300",2024
"CompletedWatashi ga Koibito ni Nareru Wake Naijan, Murimuri! (※Muri ja Nakatta!?)2025EP12TV",https://otakudesu.fit/series/7011/,https://image.tmdb.org/t/p/w300/7yvSLskVFM5mZhQ53Dx9fnLybKa.jpg,2025
CompletedGrand Blue Season 22018EP12TV,https://otakudesu.fit/series/grand-blue-season-2/,"https://i2.wp.com/otakudesu.fit/wp-content/uploads/2025/07/1751899787-4025-1WP2MrTIXJ8NI5tvqBk4ZD4ju9O.jpg?resize=200,300",-
Binan Koukou Chikyuu Bouei-bu Haikara!2025EP2TV,https://otakudesu.fit/series/7005/,https://image.tmdb.org/t/p/w300/7lyszAT5Iu0EXYf68SpWotvq3XM.jpg,2024
"CompletedFood Court de, Mata Ashita.2025EP6TV",https://otakudesu.fit/series/food-court-de-mata-ashita/,"https://i1.wp.com/otakudesu.fit/wp-content/uploads/2025/07/1751877372-9168-ftbclK56IBYCoaMASrcMi6c31GI.jpg?resize=200,300",2024
Shinobanai! Crypto Ninja Sakuya: San no Maki2023EP2TV,https://otakudesu.fit/series/shinobanai-crypto-ninja-sakuya/,"https://i3.wp.com/otakudesu.fit/wp-content/uploads/2025/07/1751876490-1688-zGgbpAbIoRqdaSOtlQG6NgCjTwG.jpg?resize=200,300",2023
CompletedPuniru wa Kawaii Slime 2nd Season2024EP12TV,https://otakudesu.fit/series/puniru-wa-kawaii-slime-2nd-season/,"https://i2.wp.com/otakudesu.fit/wp-content/uploads/2025/07/1751861172-6250-zaUlTqv4OWyTmi0Z80g9XQ5LFbE.jpg?resize=200,300",2024
CompletedCity The Animation2025EP13TV,https://otakudesu.fit/series/city-the-animation/,"https://i0.wp.com/otakudesu.fit/wp-content/uploads/2025/07/1751820909-7601-iF1lDNPZtqqUk200IBFnOe4K26m.jpg?resize=200,300",2025
CompletedHotel Inhumans2025EP13TV,https://otakudesu.fit/series/hotel-inhumans/,"https://i2.wp.com/otakudesu.fit/wp-content/uploads/2025/07/1751820374-8961-v5yGyhPWoOhFfm4jhQrh6u6kknc.jpg?resize=200,300",2015
Gachiakuta2025EP23TV,https://otakudesu.fit/series/gachiakuta/,"https://i3.wp.com/otakudesu.fit/wp-content/uploads/2025/07/1751820049-4312-84LdrRRvpWk8g0EaaW7z3eKdfum.jpg?resize=200,300",2024
CompletedGame Center Shoujo to Ibunka Kouryuu2025EP12TV,https://otakudesu.fit/series/cultural-exchange-with-a-game-centre-girl/,"https://i1.wp.com/otakudesu.fit/wp-content/uploads/2025/07/1751819157-4653-qXJN0P8X4Sggb3GNnkYGC4l2RbL.jpg?resize=200,300",2025
CompletedNyaight of the Living Cat2025EP12TV,https://otakudesu.fit/series/nyaight-of-the-living-cat/,"https://i1.wp.com/otakudesu.fit/wp-content/uploads/2025/07/1751818233-4004-8RK3ejKdkw5KrUNzcURiwGpi9xO.jpg?resize=200,300",2025
CompletedBusamen Gachi Fighter2025EP12TV,https://otakudesu.fit/series/busamen-gachi-fighter/,"https://i0.wp.com/otakudesu.fit/wp-content/uploads/2025/07/1751818021-3951-tuOXsK63UNldWDNiWXZrajWRcyL.jpg?resize=200,300",2016
